arm_x,arm_y,bd3lm_x,bd3lm_y,mdlm_x,mdlm_y,niu_x,niu_y
1.0,26.17,1.0,25.82,1.0,25.32,1.0,26.24
2.0,27.16,2.0,26.39,2.0,26.62,2.0,27.56
3.0,28.04,3.0,26.29,3.0,27.34,3.0,28.27
4.0,28.71,4.0,26.73,4.0,27.76,4.0,29.02
5.0,29.74,5.0,26.89,5.0,28.25,5.0,29.26
6.0,30.35,6.0,27.53,6.0,28.7,6.0,29.81
7.0,30.65,11.0,28.58,7.0,28.87,7.0,30.16
8.0,30.74,12.0,28.05,8.0,28.84,8.0,30.61
9.0,30.84,13.0,28.36,9.0,28.86,9.0,30.73
10.0,31.61,14.0,28.68,10.0,29.81,10.0,31.18
11.0,31.7,15.0,28.9,11.0,30.05,11.0,31.69
12.0,31.88,16.0,29.11,12.0,30.49,12.0,31.53
13.0,31.68,17.0,28.42,13.0,30.32,13.0,31.92
14.0,31.78,18.0,29.05,14.0,30.88,14.0,31.94
15.0,32.23,19.0,29.21,15.0,31.49,15.0,32.14
16.0,31.91,20.0,29.73,16.0,31.09,16.0,32.37
17.0,32.16,21.0,30.0,17.0,31.34,17.0,32.0
18.0,31.98,22.0,29.78,18.0,30.98,18.0,32.44
19.0,32.0,23.0,29.42,19.0,31.19,19.0,32.4
20.0,31.71,24.0,29.56,20.0,32.03,20.0,32.92
21.0,31.7,25.0,29.45,21.0,32.1,21.0,32.78
22.0,32.03,26.0,30.12,22.0,32.0,22.0,32.38
23.0,32.36,27.0,30.46,23.0,32.11,23.0,32.56
24.0,32.13,28.0,30.18,24.0,32.28,24.0,32.76
25.0,32.03,29.0,30.25,25.0,32.38,25.0,32.84
26.0,31.93,30.0,30.67,26.0,32.36,26.0,32.73
27.0,32.22,31.0,30.57,27.0,33.16,27.0,32.54
28.0,32.02,32.0,30.62,28.0,32.98,28.0,32.57
29.0,32.25,33.0,30.69,29.0,32.99,29.0,32.63
30.0,32.23,34.0,31.13,30.0,33.33,30.0,32.84
31.0,32.25,35.0,30.6,31.0,32.87,31.0,32.58
32.0,31.96,36.0,31.15,32.0,33.54,32.0,32.6
33.0,31.77,37.0,30.84,33.0,33.17,33.0,32.54
